sequence_1,sequence_2,sequence_3,sequence_4,sequence_5,sequence_6,sequence_7,sequence_8,sequence_9,sequence_10,sequence_11,sequence_12,sequence_13,sequence_14,sequence_15,sequence_16,sequence_17,sequence_18,sequence_19,sequence_20,sequence_21,sequence_22,sequence_23,sequence_24,sequence_25,sequence_26,sequence_27,sequence_28,sequence_29,sequence_30,sequence_31,sequence_32,sequence_33,sequence_34,sequence_35,sequence_36,sequence_37,sequence_38,sequence_39,sequence_40,sequence_41,sequence_42,sequence_43,sequence_44,sequence_45,sequence_46,sequence_47,sequence_48,sequence_49,sequence_50,sequence_51,sequence_52,sequence_53,sequence_54,sequence_55,sequence_56,sequence_57,sequence_58,sequence_59,sequence_60,sequence_61,sequence_62,sequence_63,sequence_64,sequence_65,sequence_66,sequence_67,sequence_68,sequence_69,sequence_70,sequence_71,sequence_72,sequence_73,sequence_74,sequence_75,sequence_76,sequence_77,sequence_78,sequence_79,sequence_80,sequence_81,sequence_82,sequence_83,sequence_84,sequence_85,sequence_86,sequence_87,sequence_88,sequence_89,sequence_90,sequence_91,sequence_92,sequence_93,sequence_94,sequence_95,sequence_96,sequence_97,sequence_98,sequence_99,sequence_100
0.47570893,-0.13922712,-0.25012475,-0.56413174,-0.09473255,-0.48348546,-2.4973402,-0.79956937,-0.3460045,-0.513975,-1.5107591,-0.5569452,0.059584677,-1.237039,-1.175532,-0.50138307,-0.7644883,-0.50747794,-0.6666097,-1.2861927,-0.7848635,-0.50326633,0.15072104,-0.3455399,1.7936486,-0.29167593,0.007826149,1.6175653,-0.16977337,-2.2022405,-1.3108459,-2.0450454,0.5357069,-1.6108484,0.16865969,0.099540055,-0.30548912,-0.97786283,-0.41011485,-0.7586426,-1.1621532,0.29124153,-0.8736625,-1.5434778,-0.767506,-0.17874168,-0.691665,-0.5432969,-0.882689,-0.58753884,-0.83696735,-1.0440755,0.39307216,-0.09167415,-0.45684612,0.37430862,-0.54907596,-1.5351987,-0.38028038,-0.4265821,-0.21633504,-0.5203684,-1.9829323,0.092466354,0.6317675,-0.6278603,-2.32892,-0.36797738,-0.59728074,0.17559832,0.026201993,0.45213288,-1.0375221,-1.4097817,-0.90266836,-1.445934,-0.6955325,0.6241393,-0.1443901,-0.2293294,-0.3977426,-0.22299944,0.12318933,-0.73118454,0.29389763,-0.044501334,-0.45697477,-0.09293863,0.368989,-1.1850313,-0.7866871,-0.088460445,-0.24444997,-0.20196986,0.75547326,-0.23583001,-0.13239086,-0.120978,-0.05530095,0.86094475
1.9217534,0.5892225,1.0629535,1.5120239,1.7412254,2.0132642,1.7922918,1.1216398,2.038463,1.03776,1.9259452,1.1266376,1.5431588,1.8366498,1.5449672,0.821596,1.8395157,2.0159276,0.7792299,1.9850671,1.6748357,1.0553833,1.4833417,1.9232662,1.2571269,0.82776093,1.649642,2.4953585,2.0123465,1.7753273,1.7668476,1.412342,1.0651666,1.6455624,0.82208467,1.7983935,0.8445742,2.1832125,1.9936554,1.7790592,2.5018182,1.6193607,1.759718,1.4934661,0.69015336,1.6030216,2.412008,2.1820526,1.265224,2.770653,1.2170249,1.5682459,1.8315833,1.503204,1.56811,1.5185997,0.44481733,1.8664217,1.2798407,1.4329538,1.1588175,0.8872682,1.6989065,1.7528596,0.70128113,2.4602041,0.88338876,1.7965825,1.3535316,1.8645267,2.1251004,1.9030398,1.3934662,1.3858968,1.8117781,0.97920823,2.2117586,1.5470161,1.5910919,1.6043401,1.078774,0.9185724,1.7975423,1.4378529,2.2654276,2.8802438,0.4914384,0.98243284,1.3637347,1.7138652,1.5374329,1.1293099,1.5643406,1.7792356,1.4886446,0.94528496,2.2686586,1.9815409,2.1345463,1.4741108
1.76509,0.76446456,1.6786988,1.5113102,1.9931083,1.5642359,1.7286453,1.3956261,0.9795911,1.2526602,1.3781497,1.3121959,1.9491389,2.1250112,1.7922112,1.5916734,1.8365076,1.3975968,2.169303,1.9123394,1.7486825,2.0262337,1.5747118,1.3351573,1.52227,1.1664598,1.3419211,1.663507,1.2778735,1.7765033,1.769295,2.1541681,1.3575451,1.937187,1.601037,1.8198452,1.5729976,2.012848,1.2889178,1.8198851,1.3252814,1.4029889,1.3600721,1.9742891,1.6576878,2.2051537,1.1421521,1.7453718,1.8585002,2.0076404,2.2515297,1.7749194,1.7097304,1.3680687,1.1701231,1.723788,1.1963434,1.4438622,1.7388788,2.0258017,1.3077745,1.5660763,2.0669956,1.9612954,1.5324528,1.7242004,1.9975281,1.5750064,1.5090468,2.1954648,1.7397631,1.2723525,2.0576782,1.6403279,1.2738702,1.7742178,1.4744068,1.8254498,1.7006731,1.9306653,1.1263084,1.5438453,1.5004135,1.0247482,1.6156371,1.6107683,1.6520368,1.5530851,1.9450489,1.5971862,1.8873755,1.6306956,0.93300813,1.8469076,1.1474977,1.6952811,1.5176804,2.2016485,1.4942656,1.7275797
0.925169,1.261929,0.66316766,1.3014311,1.2492989,0.09153277,1.4062909,1.098486,0.77092004,0.83214283,1.159135,1.8665804,0.8541296,0.69852144,0.71531844,1.2505424,0.8071148,0.9833511,0.8852029,1.0086454,1.0435351,0.9256665,0.44390017,0.1555492,0.8181472,0.7957343,0.8964757,0.78469557,1.3471105,0.6447277,1.0072403,1.0167428,1.3470207,0.8779574,1.2753209,0.98722804,1.1729139,0.22381505,0.6073436,0.8087217,0.38107783,1.2478255,0.23268175,1.4086939,0.6626404,0.88741314,0.7992818,1.1565981,1.0745623,0.18538278,1.2748963,1.1033314,0.76957214,0.47941977,1.5962602,0.6037219,0.75534487,0.6110811,0.9891609,0.75405794,0.9197434,0.97314423,1.2339487,1.2538911,1.0932903,1.0779185,0.920567,1.2925501,0.885246,1.1779841,0.7534452,0.39434713,0.8759265,0.46673858,0.75424397,1.467201,1.0198281,0.4586842,0.99365884,1.3026725,0.52452826,1.1028748,0.7697724,0.99758893,1.7671552,0.8712988,1.4563276,0.8945899,0.73613435,0.59161884,1.2727451,1.3434222,0.36161256,1.0498178,1.1333346,0.42824987,0.65939134,0.43614328,1.4533591,1.038945
-0.8794346,-0.7871685,-0.70251334,-0.95074403,-0.7390902,-0.66215754,-1.062684,-0.5808414,-0.6759332,-0.29496104,-0.8657795,-0.53462124,-0.43904722,-1.3014402,-0.735879,-1.1692654,-0.8266983,-1.0344676,-0.8320519,-0.64468676,-1.0122771,-1.02865,-1.4171901,-1.0306588,-0.7317313,-1.1037618,-1.087008,-0.016996175,-1.2193315,-0.4328595,-0.82380337,-0.8848506,-0.6469631,-1.0128878,-0.93662715,-0.33762196,-0.805584,-1.0242606,-1.0645523,-0.9354584,-0.25440666,-0.8796335,-0.8233138,-0.7343113,-0.8175058,-0.7476733,-1.0901577,-0.8451436,-1.3615775,-1.1872176,-1.0193701,-1.0202596,-0.64033693,-0.6226108,-0.29535452,-0.30313993,-0.62093997,-0.7087698,-0.88033795,-0.914675,-0.63077366,-0.94458246,-0.6091323,-1.0544791,-0.87982213,-0.84990984,-0.7777419,-0.5176113,-0.53737473,-0.77477777,-0.4993347,-0.6276228,-1.0036585,-0.74218583,-1.0781236,-0.84408534,-1.1671234,-0.8978716,-0.7544681,-0.56135666,-1.0924575,-0.48735452,0.06300941,-0.7109119,-0.65359944,-1.125895,-0.78248554,-0.5100331,-0.54789174,-1.2166865,-0.6570725,-0.44697094,-0.7642118,-0.8990555,-0.2916659,-0.88036084,-0.9422316,-0.9261489,-0.72970545,-0.56600016
-1.7079837,-1.4922175,-1.8426652,-2.03576,-1.6479818,-1.2964275,-2.0559688,-2.1606462,-1.8477548,-1.2636256,-2.0553377,-1.3915048,-1.3256025,-1.8570366,-1.2195172,-1.8285797,-1.613863,-1.7090158,-1.3494492,-1.6440818,-2.1242566,-2.073873,-1.5568916,-1.5000701,-1.6476754,-1.3738272,-1.925524,-1.0450646,-1.6800743,-1.3825569,-1.7249162,-1.7406927,-1.3476971,-2.3121867,-1.9505855,-1.7368597,-1.590231,-2.0253804,-1.8111519,-0.9073228,-1.3971121,-1.2111993,-1.686019,-1.6955707,-1.411961,-1.7216073,-1.8408908,-1.1479658,-1.5641868,-1.4438498,-1.8695691,-1.9569106,-1.5766661,-1.5604603,-2.2941232,-1.1871216,-1.4601545,-1.3137922,-2.1171966,-1.3610897,-1.234588,-1.6214383,-2.0459914,-1.4888753,-1.75213,-1.386092,-2.1874456,-1.543828,-1.2296628,-1.8653919,-1.7859852,-1.3846326,-1.8884135,-1.3642386,-1.7731757,-1.5016967,-1.639699,-1.5292537,-1.9396747,-1.512825,-1.2921188,-2.1025558,-1.5984399,-1.5116599,-1.3300523,-1.8332391,-1.8934616,-1.3631122,-1.404738,-1.4434437,-1.7159095,-1.5728095,-1.7322462,-1.6778352,-1.1474817,-1.7466663,-1.2723966,-1.391027,-1.4902959,-1.9103653
-2.1799417,-1.9862757,-2.0220895,-2.1049283,-1.4848237,-1.5186374,-1.5978053,-1.5781574,-1.5923638,-1.8609021,-1.7489084,-2.2439618,-1.9336884,-1.5786784,-1.6738267,-2.259695,-2.2458851,-2.0128665,-1.9615991,-1.7032657,-1.4802561,-1.9488684,-1.8371134,-1.7286835,-1.6743749,-1.6767654,-1.2101492,-1.2484426,-2.0109215,-1.4961091,-1.2806188,-2.1571815,-1.6138568,-1.9832664,-1.7773931,-1.3193111,-2.1487818,-1.9363606,-1.6036811,-2.01369,-1.7248623,-2.1891353,-2.0042238,-1.658956,-1.7512227,-2.165611,-1.8511301,-1.327256,-2.20833,-1.7769966,-1.8025842,-2.5636945,-1.4101584,-1.7158654,-1.33154,-1.9337127,-1.5299305,-1.944528,-1.8001759,-1.9599227,-2.0760798,-1.5844713,-1.59759,-2.1737976,-1.9537789,-1.5384126,-1.8541396,-1.881102,-1.7695136,-1.8369824,-1.4771569,-1.8454975,-1.9312456,-1.7836192,-2.151662,-1.9826244,-1.9210358,-1.8858168,-1.5908089,-1.8078192,-1.5892522,-1.2884961,-2.0492325,-1.6242759,-2.0456922,-1.5233425,-1.9582188,-1.5560788,-1.9789063,-1.4737691,-1.4312077,-1.7355298,-1.7804903,-1.8373238,-1.8928142,-1.1271685,-2.157843,-1.824476,-1.9222481,-1.2951747
-1.9654938,-1.267169,-1.633422,-1.5462409,-1.6599238,-1.2799704,-1.3201643,-1.370266,-1.1411066,-1.6901772,-1.6445664,-1.2302642,-1.3367319,-1.0927008,-0.9957404,-1.2354052,-1.6958127,-1.4561574,-1.5788863,-1.1996279,-0.90651464,-1.6900823,-1.3037037,-0.98352206,-1.3189936,-1.3458476,-1.0732108,-1.5618081,-1.4150368,-1.5282737,-1.4349617,-1.8227292,-1.6428344,-1.4991423,-1.8630217,-1.3734776,-1.3749604,-1.7129884,-1.5527135,-1.8725257,-1.2421579,-0.93744797,-1.2615514,-1.7488337,-1.1897054,-1.4785935,-1.3496972,-1.0364134,-1.2148783,-1.039245,-1.7792108,-1.7256956,-1.2362381,-1.056319,-1.9791274,-1.4487619,-1.2090291,-1.0516673,-1.4797478,-1.3488972,-1.0287817,-0.77152693,-1.3702316,-1.7763362,-2.2397366,-1.0897244,-1.614841,-1.5047979,-1.1771325,-1.4790239,-1.595202,-0.80080694,-2.3049393,-0.9392002,-1.4028356,-1.5840874,-1.5869356,-1.9621048,-1.3579657,-1.4037101,-1.4928124,-1.4692456,-1.7528564,-0.95699674,-0.8670465,-1.2374225,-1.7081906,-1.2154436,-1.3712213,-1.213409,-1.4225559,-1.7312258,-1.3154973,-1.8942437,-1.3018872,-1.1437472,-1.0962404,-1.7897861,-1.0931958,-1.2482406
-1.4226995,-0.73014265,-1.1109909,-1.2891667,-1.6094941,-1.4810811,-0.99878806,-0.6860924,-0.98849726,-1.1139586,-1.1570908,-1.2942996,-1.1061548,-1.379048,-1.129323,-0.97705686,-1.247233,-1.5359364,-1.0212153,-1.1519039,-1.4054562,-0.8379434,-1.0586685,-1.2644647,-1.3970554,-1.0216726,-1.2905843,-1.4958944,-1.5194836,-0.96528417,-1.4092315,-1.1332687,-1.4088838,-1.21698,-1.0853225,-1.0423652,-1.2347692,-1.0360641,-1.5454146,-1.6378145,-1.542701,-1.1047192,-1.0871029,-0.9687642,-1.232412,-1.5982438,-1.7030659,-0.95000035,-1.4543118,-1.6982713,-1.3903133,-1.327185,-1.2431165,-0.8905457,-1.0593843,-1.2374926,-1.4523418,-1.1881413,-1.4570533,-1.2192482,-1.4706119,-0.8927505,-1.2532566,-1.5250144,-1.2420149,-1.2930219,-1.4198406,-1.1053712,-1.1186154,-1.5201886,-1.2603518,-1.3925637,-1.4405757,-1.275999,-1.6194282,-0.94332474,-1.2503593,-1.3753835,-1.0228153,-1.2603694,-1.1982262,-0.87243986,-0.9997079,-1.1679131,-0.9285299,-1.3211908,-1.1329852,-1.0479114,-1.0893034,-1.5810596,-1.4080861,-1.1387722,-1.1185753,-0.9854548,-0.7940808,-1.0353355,-1.3617882,-1.4912839,-1.317091,-1.0373746
-1.2385799,-1.1294091,-1.3717777,-1.4051559,-1.1936713,-1.3311744,-0.63372415,-1.5139318,-1.3284111,-1.5707328,-1.7090493,-1.5941108,-1.2703618,-0.74545896,-1.3978863,-1.1784365,-1.3288941,-0.91460305,-1.3814518,-1.4711803,-1.1148345,-0.9906551,-1.684582,-1.6085241,-1.1288888,-0.92001104,-1.5101708,-1.2426808,-1.4987329,-1.4146831,-1.1488116,-1.5594949,-0.92237943,-1.2056863,-1.0621305,-1.2254565,-1.2984452,-1.4447348,-1.4250274,-1.4987795,-1.053294,-1.1569309,-1.6092385,-0.9444826,-1.1741493,-2.1375332,-0.8262785,-1.3500779,-0.7380626,-1.4353341,-1.233643,-1.4469445,-1.4490507,-1.0130805,-0.9723149,-1.3576443,-1.4455526,-1.6470907,-1.2022604,-1.8197128,-0.9450484,-1.0320046,-1.0375247,-1.0640244,-1.0041363,-1.3892424,-1.1640049,-1.052155,-1.0669165,-1.1510365,-1.3764484,-1.7373235,-1.5369554,-1.4470718,-1.1591496,-1.5856569,-1.0941207,-1.2939768,-0.77539676,-1.5192541,-1.6707531,-1.194139,-1.6863544,-1.8840929,-1.2954677,-1.6842897,-1.0470964,-1.3924893,-1.2607194,-0.62896276,-1.1227907,-1.1496799,-1.0429012,-1.0438874,-1.7375453,-1.4112861,-0.99723,-1.2158238,-0.76989806,-0.9663988
