sequence_1,sequence_2,sequence_3,sequence_4,sequence_5,sequence_6,sequence_7,sequence_8,sequence_9,sequence_10,sequence_11,sequence_12,sequence_13,sequence_14,sequence_15,sequence_16,sequence_17,sequence_18,sequence_19,sequence_20,sequence_21,sequence_22,sequence_23,sequence_24,sequence_25,sequence_26,sequence_27,sequence_28,sequence_29,sequence_30,sequence_31,sequence_32,sequence_33,sequence_34,sequence_35,sequence_36,sequence_37,sequence_38,sequence_39,sequence_40,sequence_41,sequence_42,sequence_43,sequence_44,sequence_45,sequence_46,sequence_47,sequence_48,sequence_49,sequence_50,sequence_51,sequence_52,sequence_53,sequence_54,sequence_55,sequence_56,sequence_57,sequence_58,sequence_59,sequence_60,sequence_61,sequence_62,sequence_63,sequence_64,sequence_65,sequence_66,sequence_67,sequence_68,sequence_69,sequence_70,sequence_71,sequence_72,sequence_73,sequence_74,sequence_75,sequence_76,sequence_77,sequence_78,sequence_79,sequence_80,sequence_81,sequence_82,sequence_83,sequence_84,sequence_85,sequence_86,sequence_87,sequence_88,sequence_89,sequence_90,sequence_91,sequence_92,sequence_93,sequence_94,sequence_95,sequence_96,sequence_97,sequence_98,sequence_99,sequence_100
232.62518,234.46341,229.89365,231.73996,231.4546,232.40057,222.58974,225.00629,228.33195,230.90173,233.04501,228.41522,231.68732,227.63013,233.68326,231.70036,233.64905,227.99373,228.88968,228.74414,230.21445,231.78197,227.7648,231.15225,225.85999,230.13132,229.26068,231.09024,229.47049,232.89638,230.95456,233.36914,230.30077,227.7635,231.10953,227.32634,228.87364,231.59319,231.57156,232.0336,227.21414,234.62982,230.16586,229.77939,232.63715,229.31284,230.16544,228.51791,233.98807,225.26633,231.11649,224.03091,234.2859,232.82104,223.6057,232.98596,231.93187,233.35213,232.19312,234.5784,227.36401,233.86435,219.79666,232.9415,233.28741,233.03479,232.14539,228.97343,231.1289,228.03333,233.41998,222.06757,230.43396,228.57848,233.54184,230.88174,228.4272,232.42668,229.77573,227.82544,234.31586,228.06892,229.91748,230.40218,225.71259,224.02795,234.35834,229.7355,229.01842,224.52003,235.08864,231.91931,232.9385,228.5503,232.71822,232.53076,230.31749,225.30807,230.1558,219.5398
228.65126,228.98761,225.3429,228.12471,224.92578,228.20956,220.05417,221.17236,220.18611,225.97952,229.51357,224.73827,224.62149,222.99228,226.99408,224.86267,227.68277,221.81268,222.86052,223.25624,223.55573,226.22418,223.12004,223.52841,225.34267,225.77872,226.83363,226.01457,223.83276,229.62128,223.3573,227.58438,221.56355,224.9599,226.51846,224.151,222.4873,226.03946,226.82169,227.35684,222.84041,230.24692,225.29834,226.55621,226.68509,222.42972,226.1853,223.61472,230.02797,217.88445,226.5657,221.33618,229.55702,228.15399,218.65085,227.81642,226.35754,228.80414,227.04716,227.44553,222.52289,227.72852,219.02982,227.71526,228.95047,225.80344,227.29872,223.28679,225.68742,225.2197,229.4356,219.27396,225.10693,226.45195,229.5752,223.7952,221.77533,226.8634,223.91864,223.19261,226.94589,222.8842,225.33174,223.37793,224.99957,220.26358,230.36472,225.3929,225.31696,222.09778,230.35498,227.16426,226.77032,223.70692,226.95071,228.42017,224.81169,220.89603,223.78548,217.75067
222.3888,223.58464,222.5184,222.58719,218.94702,223.13861,213.7089,214.07916,215.56436,221.56061,224.50241,219.16309,219.48912,215.22,221.31604,220.4471,224.38272,218.29321,218.64453,212.95847,219.53137,219.40364,215.63339,220.2765,220.45026,223.12625,219.19762,219.97325,222.02324,224.4535,219.14368,223.52884,218.36804,220.12633,224.26741,219.60889,219.40736,221.88727,222.26682,221.43732,215.02545,225.24255,216.51147,222.30093,219.03598,213.12704,221.78204,217.93182,226.05072,213.90186,223.65514,215.63486,225.05728,224.57034,206.56224,221.88345,222.8453,226.50879,219.40744,221.65105,216.71559,222.2769,210.07819,221.06699,222.5022,219.64447,223.18399,215.82211,219.68326,220.86664,223.66412,217.08934,221.4682,220.89778,224.71365,217.36633,209.32895,220.31569,216.2119,217.75299,222.63416,214.36707,218.80954,216.04114,217.41208,212.70694,226.41573,219.33952,220.91211,218.08655,225.93124,221.31609,221.0888,217.76144,219.16606,222.15137,219.02808,209.53973,219.2785,208.6323
222.26276,219.72418,217.29411,219.2205,214.06679,221.23679,211.4171,214.20674,218.81339,220.31198,225.21342,217.5383,216.52397,210.50505,222.47711,217.68298,218.31189,219.4015,219.58295,211.99435,218.11447,222.65329,217.1105,222.13942,218.71829,217.91272,220.78735,220.42258,219.4708,219.99557,215.3357,220.85547,218.59373,217.37106,222.16943,217.18547,215.6528,219.63832,219.73537,221.00465,213.83484,222.35893,215.63884,218.57916,216.57594,214.7284,219.0133,209.71008,223.76157,212.60193,216.01367,210.62723,221.65366,220.19543,214.92836,216.63297,217.35634,224.08597,217.4208,219.45547,204.50307,220.81229,208.79126,220.81024,220.55956,217.74115,218.93736,213.79648,220.5491,218.51953,219.74947,210.9939,218.53333,220.70215,222.98633,218.5671,209.28369,220.27112,219.33298,219.45508,218.62543,215.65555,218.24359,217.7939,212.09325,208.12564,224.81789,221.04771,216.60095,209.17833,222.41257,220.10483,221.26427,210.29562,220.31842,219.96394,220.88754,206.45343,217.5501,205.05466
219.83371,215.22226,213.52594,214.19646,209.53241,218.90051,206.71062,202.1416,211.21725,215.9921,218.85745,215.24442,210.07178,197.54375,217.59354,214.30948,217.28134,212.50769,199.92352,206.84665,211.94608,219.82744,208.2694,215.25813,213.41057,217.77351,206.79362,214.7132,211.62766,215.405,198.20877,217.74866,213.05838,206.50543,216.31055,213.9656,217.35217,215.2276,214.72461,216.8092,203.79964,220.46887,216.00504,216.61716,214.59749,203.985,219.54488,208.29385,221.72635,189.98355,213.59378,199.44446,219.46956,217.93591,195.92728,213.23557,212.54916,220.48,212.45174,217.66415,211.17862,215.82378,185.81406,218.68045,218.29591,210.07956,216.7461,209.91158,209.2782,215.79013,215.65613,198.4031,211.13914,214.23337,221.51611,212.09526,206.45338,214.06055,209.3107,198.1271,212.72858,211.59526,210.85979,213.02051,201.67377,203.55872,220.16489,213.27167,206.28697,207.87329,219.49945,216.97827,218.07721,207.37906,213.37383,217.06912,212.5274,200.06311,213.2771,191.29459
218.87698,217.04863,213.81775,216.80344,209.80399,218.14642,203.98198,209.33423,210.27592,215.73044,219.2637,214.93831,203.09361,201.89658,216.1943,214.8201,216.24382,205.56087,209.80374,201.67038,211.85309,214.44115,209.4999,212.22272,213.82507,215.46556,209.97888,213.3415,217.7592,212.79854,207.0745,218.90018,208.57428,209.90385,213.79468,216.23563,214.0469,214.3609,218.49045,212.36952,202.21703,216.17513,203.40369,213.24413,214.69733,201.18883,217.9148,213.05875,218.52292,196.4062,214.17297,204.1839,219.5475,211.17424,207.06396,207.40729,213.80928,222.11115,211.22015,214.39214,197.92865,215.61346,189.5401,213.41159,218.47284,215.94109,213.62427,197.32535,211.01862,217.80923,216.42856,201.19495,209.54099,218.37958,217.88263,213.3732,197.4524,208.17781,211.14502,194.49786,214.0249,212.77036,209.73259,208.51022,207.25716,190.75742,221.24153,216.06271,214.41809,206.45734,220.05627,212.59642,214.1976,205.26804,218.08913,216.47882,209.012,187.38316,210.21942,198.38312
217.00275,219.82986,213.94632,217.60443,217.62225,217.68842,203.17976,202.90598,208.61594,217.42221,220.10873,215.47354,213.45302,197.73277,214.57802,214.28125,216.01257,210.09616,212.18602,203.49179,213.09407,215.7506,200.65857,214.31729,210.46432,215.80719,216.79095,214.61023,216.40927,220.77539,208.19197,217.87004,203.30121,208.78078,217.07416,209.66638,213.19205,216.26146,218.5937,214.78522,208.56686,222.2348,200.86258,212.76387,215.61273,206.91568,215.87637,212.98653,221.60193,202.67285,215.17204,201.70093,219.95288,219.52966,200.96304,215.96404,213.9202,222.97113,215.25749,213.82413,204.86667,218.35754,199.35788,214.87437,219.65083,210.77798,211.30507,203.31747,214.73412,214.85144,216.50175,207.90125,213.73584,213.1482,219.06654,212.0104,200.80269,215.5701,213.77777,212.0433,216.33759,205.10513,213.18597,210.68103,211.18187,202.4117,221.98068,214.62167,214.64911,209.86987,220.89604,215.32831,214.44476,210.81238,213.67859,219.30415,210.17642,200.36629,213.05173,206.17609
223.08626,222.59692,219.02946,221.00066,215.26901,220.69626,211.83426,215.61917,210.70212,220.26184,222.96063,219.7982,213.44948,211.12929,222.98395,218.59114,219.56049,216.79684,214.2781,207.6195,218.7455,222.6531,214.69583,218.38824,219.41579,218.6966,219.49535,217.39413,219.71715,222.96388,212.64102,222.98276,215.5683,216.36598,222.40408,212.69992,213.79169,220.7656,219.19708,219.80559,209.40965,224.40677,215.02682,220.5947,217.38422,204.52832,218.01352,214.35449,226.06076,209.54382,219.28194,212.08133,223.28668,222.29492,212.47287,217.63525,219.17093,224.06245,219.42395,221.33014,213.56912,221.09082,203.48138,222.62245,221.15297,216.93481,221.94048,212.34273,216.3223,218.04861,221.87009,210.30148,216.46236,220.20445,223.47954,215.66829,210.56772,218.17545,213.69757,215.72946,218.07643,213.85194,215.4787,214.51936,216.75027,210.03235,226.42697,219.98863,216.56686,215.5173,223.83298,221.51581,222.85048,212.55698,219.15845,220.9408,219.26685,203.68695,216.88135,208.61234
226.48969,226.84348,225.24373,224.74776,223.39792,223.94801,218.26015,218.83571,221.49802,224.10556,226.6539,222.21576,222.0486,220.04094,225.12009,222.40848,224.83086,219.26073,220.04756,218.71246,222.44202,224.8836,219.6127,221.77487,222.39386,224.40068,221.9804,223.27129,223.549,225.20914,221.11832,226.61462,221.47708,221.63403,224.53696,221.03564,222.37265,224.58513,224.96567,223.22842,220.97476,227.4471,221.30928,224.32253,224.10683,221.3165,224.86603,223.10179,226.90958,215.75558,224.62486,217.16705,226.58952,224.47021,220.155,223.1197,222.08716,227.92128,222.29993,225.4267,219.0366,225.1271,216.2443,224.46681,224.56001,222.67812,224.64256,220.23454,222.93227,222.66846,224.7247,216.57516,221.93637,224.8229,226.34215,220.27823,217.60805,223.88373,221.0274,220.96129,225.28818,219.89209,220.54422,221.1614,221.70708,214.54044,228.48882,224.16995,224.3089,218.95952,226.30603,223.66208,224.19405,218.9913,223.65541,226.57532,223.07596,216.28314,220.92262,218.47757
223.98413,224.21469,223.3895,221.77402,222.69167,222.87717,218.48029,216.10315,220.71614,221.67029,225.50974,220.52798,219.65628,217.4965,224.1582,220.15317,221.98306,217.36719,219.69,219.50122,221.59439,224.198,219.14351,221.69244,222.46936,222.75542,220.67265,223.17874,221.17819,223.49919,219.63794,224.70505,219.58688,220.98438,224.32993,219.90395,222.48898,224.06308,222.9826,221.83496,218.10516,226.94365,222.9864,223.27556,221.65553,220.51866,225.39615,219.50378,226.75467,217.89545,222.31195,215.7031,224.94966,224.13779,217.27826,223.71315,219.32655,225.94006,223.26318,225.3556,220.24896,223.28946,215.37088,224.66006,223.13925,223.11118,224.18115,220.07297,220.70203,221.06004,224.7299,216.38649,222.27039,222.21982,227.15277,219.49066,218.73456,222.97823,220.7876,218.44778,223.68457,221.01443,220.98766,221.09824,219.48982,216.63574,227.39642,223.26962,220.72809,215.86496,226.09628,223.7816,223.04901,219.93208,221.88391,224.64957,224.12885,215.44481,220.7082,217.61026
